"series","episode","technical","result","Signature Bake","Show Stopper","Baker Name","Baker Age","Baker Occupation","Hometown"
1,1,2,"IN","Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream","Annetha Mills",30,"Midwife","Essex"
1,1,3,"IN","Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs","David Chambers",31,"Entrepreneur","Milton Keynes"
1,1,1,"IN","Caramel Cinnamon and Banana Cake","N/A","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
1,1,NA,"IN","Fresh Mango and Passion Fruit Hummingbird Cake","N/A","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
1,1,9,"IN","Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry","Jonathan Shepherd",25,"Research Analyst","St Albans"
1,1,NA,"IN","Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border","Louise Brimelow",44,"Police Officer","Manchester"
1,1,8,"IN","Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,1,NA,"IN","Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
1,1,10,"OUT","Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit","Lea Harris",51,"Retired","Midlothian, Scotland"
1,1,NA,"OUT","Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.","Mark Whithers",48,"Bus Driver","South Wales"
1,2,8,"IN","Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles","David Chambers",31,"Entrepreneur","Milton Keynes"
1,2,6,"IN","Oatmeal Raisin Cookie","Pink Macarons","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
1,2,2,"IN","Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
1,2,1,"IN","Honey and Candied Ginger Cookies","Meringues with Whiskey Cream","Jonathan Shepherd",25,"Research Analyst","St Albans"
1,2,3,"IN","Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,2,5,"IN","Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
1,2,7,"OUT","Rose Petal Shortbread","Pink Swirl Macarons / Eclairs","Annetha Mills",30,"Midwife","Essex"
1,2,4,"OUT","Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons","Louise Brimelow",44,"Police Officer","Manchester"
1,3,4,"IN","Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun","David Chambers",31,"Entrepreneur","Milton Keynes"
1,3,1,"IN","Olive Bread","Tomato and Mozzarella","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
1,3,5,"IN","Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
1,3,3,"IN","Walnut and Apricot Bread","Lemon Iced Buns
Chocolate and Orange Buns","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,3,2,"IN","Maple and Pecan Bread","Chocolate and Orange Panettone
Cranberry Bagels","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
1,3,6,"OUT","Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun","Jonathan Shepherd",25,"Research Analyst","St Albans"
1,4,3,"IN","Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
1,4,2,"IN","Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
1,4,1,"IN","Sticky Toffee Pudding","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,4,4,"IN","Peach and Blueberry Boy Bait","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
1,4,5,"OUT","Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear","David Chambers",31,"Entrepreneur","Milton Keynes"
1,5,2,"IN","Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés","Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
1,5,1,"IN","Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,5,3,"IN","Minced Beef Pie","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés","Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
1,5,4,"OUT","Chicken and Mushroom Pie","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés","Jasminder Randhawa",45,"Assistant Credit Control Manager","Birmingham"
1,6,NA,"WINNER","Cinnamon and Banana Cake",NA,"Edd Kimber",24,"Debt collector for Yorkshire Bank","Bradford"
1,6,NA,"Runner-up","Lemon Cupcake","Eliminated after signature","Miranda Browne",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex"
1,6,NA,"Runner-up","Mint, Ginger and Blackberry Cake",NA,"Ruth Clemens",31,"Retail manager/Housewife","Poynton, Cheshire"
2,1,2,"IN","Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream","Ben Frazer",31,"Graphic Designer","Northampton"
2,1,10,"IN","Apple and Cinnamon Cupcakes","UNKNOWN","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
2,1,8,"IN","Raspberry and Cream Cupcakes","Chocolate Marble Cakewith Dark and White Chocolate Truffles","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
2,1,6,"IN","Lemon Meringue CupcakesApple and Cinnamon Cupcakes","UNKNOWN","Jason White",19,"Civil Engineering Student","Croydon"
2,1,4,"IN","Banoffee Cupcakes","Chocolate and Raspberry Opera cake","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
2,1,3,"IN","Blackberry and Vanilla Cupcakeswith Liquorice Frosting","Genoise Layered Mousse Cakewith Chocolate Ganache","Robert Billington",25,"Photographer","London"
2,1,9,"IN","Guinness and Chocolate Cupcakes","Two-Tiered Chocolate Courgette Cake","Simon Blackwell",31,"Rugby Coach","Norfolk"
2,1,7,"IN","Cherry Blossom CupcakesJapanese Lime Cupcakes","UNKNOWN","Urvashi Roe",40,"Head of Marketing","Enfield, London"
2,1,5,"IN","Cardamom and Pomegranate Cupcakes","UNKNOWN","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
2,1,12,"OUT","Earl Grey Cupcakes","Chocolate and Sour Cream Cake","Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
2,1,1,"STAR BAKER","Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle","UNKNOWN","Holly Bell",31,"Advertising executive","Leicester"
2,2,1,"IN","Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts","Ben Frazer",31,"Graphic Designer","Northampton"
2,2,4,"IN","Pesto Quiche","Milk Chocolate and Pistachio TartsTrifle Tarts","Holly Bell",31,"Advertising executive","Leicester"
2,2,2,"IN","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry","UNKNOWN","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
2,2,8,"IN","Quiche Printanière","Red Fruit TartsChocolate and Cherry Tarts","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
2,2,9,"IN","Roasted Cauliflower, Cheese andCaramelised Onion Quiche","Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
2,2,5,"IN","Smoked Bacon and Kale Quiche","Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart","Robert Billington",25,"Photographer","London"
2,2,7,"IN","Crab, Coriander and Coconut Quiche","Strawberry and Basil TartsElderflower and Honeycomb Tarts","Urvashi Roe",40,"Head of Marketing","Enfield, London"
2,2,6,"IN","Smoked Haddock and Watercress Quiche","Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
2,2,11,"OUT","Smoked Haddock and Watercress Quiche","Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts","Simon Blackwell",31,"Rugby Coach","Norfolk"
2,2,3,"STAR BAKER","Salmon and Pak Choi Quiche","Mint Chocolate Tarts Blueberry Bakewell Tarts","Jason White",19,"Civil Engineering Student","Croydon"
2,3,3,"IN","Walnut, Raisin and Rosemary Loaf","UNKNOWN","Ben Frazer",31,"Graphic Designer","Northampton"
2,3,6,"IN","Picnic Loaf","Stilton and Walnut Rolls","Holly Bell",31,"Advertising executive","Leicester"
2,3,8,"IN","Zupfe Loaf with Gruyère Cheese","Apple and Walnut Granary Rolls Red Onion Cottage Rolls","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
2,3,7,"IN","Cheese and Onion Tear and Share Loaf","UNKNOWN","Jason White",19,"Civil Engineering Student","Croydon"
2,3,5,"IN","Ploughman's Loaf","Herb and Walnut BreadsChocolate and Chilli Buns","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
2,3,4,"IN","Rye and Coriander Seed Loaf","Blueberry Brioche RollsLemon and Poppy Seed Rolls","Robert Billington",25,"Photographer","London"
2,3,10,"OUT","Courgette, Caerphilly Cheese and Thyme Loaf","Walnut and Raisin RollsCracked Wheat Logs","Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
2,3,9,"OUT","Salt and Peppercorn Loaf","Chilli and Halloumi RollsLemon and Coriander Mini Loaves","Urvashi Roe",40,"Head of Marketing","Enfield, London"
2,3,2,"STAR BAKER","Egyptian Dukkah Loaf with Mixed Spices","Pesto Bread
Sweet Coconut Rolls","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
2,4,4,"IN","Christmas Marzipan Biscuits","Raspberry Macarons
Blackcurrant Macarons
Almond Macarons","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
2,4,2,"IN","Melting Moments","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
2,4,7,"IN","Chocolate and Ginger Oat Biscuits","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons","Robert Billington",25,"Photographer","London"
2,4,6,"IN","Chocolate Chip and Pistachio Biscotti","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
2,4,5,"OUT","Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons","Ben Frazer",31,"Graphic Designer","Northampton"
2,4,3,"STAR BAKER","Strawberry and Custard Melts","'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)","Holly Bell",31,"Advertising executive","Leicester"
2,4,1,"STAR BAKER","Lebkuchen","Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)","Jason White",19,"Civil Engineering Student","Croydon"
2,5,4,"IN","Stilton, Potato and Caramelised Onion Pie","Lime Meringue Pie","Holly Bell",31,"Advertising executive","Leicester"
2,5,2,"IN","Chicken and Bacon Pie","Midnight Meringue","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
2,5,5,"IN","Family Fish Pie","Peach and Raspberry Meringue Pie","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
2,5,7,"OUT","Brown Down Chicken Pie","Plum Meringue Pie","Jason White",19,"Civil Engineering Student","Croydon"
2,5,3,"OUT","Chicken and Mushroom Pie","Rhubarb and Custard Meringue Pie","Robert Billington",25,"Photographer","London"
